2020-09-24 10:36:03,899 - root - INFO - 输入名称：分分
2020-09-24 10:54:58,970 - root - INFO - 输入名称：分分
2020-09-24 11:10:51,048 - root - INFO - 输入名称：分分
2020-09-24 11:11:00,955 - root - INFO - 输入名称：分分
2020-09-24 11:44:14,758 - root - INFO - 输入名称：分分
2020-09-24 13:50:28,041 - root - INFO - 分分
2020-09-24 16:24:20,188 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:24:20,544 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:24:20,681 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:24:20,819 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757832
2020-09-24 16:24:26,759 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 16:24:27,185 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 16:25:45,762 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:25:45,894 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:25:46,245 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:25:46,412 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:25:46,579 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757832
2020-09-24 16:25:52,096 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 16:25:52,215 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 16:28:16,168 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:28:16,376 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:28:16,820 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:28:16,983 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:28:17,129 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757832
2020-09-24 16:28:17,484 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 16:28:20,481 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 16:28:20,626 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 16:33:19,700 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:33:19,865 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:33:20,195 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:33:20,331 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:33:20,439 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757832
2020-09-24 16:33:20,712 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 16:38:17,395 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:38:17,503 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:38:17,895 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:38:18,040 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:38:18,157 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757828
2020-09-24 16:38:18,493 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 17:04:55,762 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 17:04:55,894 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 17:04:56,292 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 17:04:56,459 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 17:04:56,577 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757828
2020-09-24 17:04:56,873 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 17:05:37,300 - root - INFO - 测试用例：添加学员
2020-09-24 17:05:43,174 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 17:05:43,309 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 17:05:43,682 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 17:05:43,850 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 17:05:43,974 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757828
2020-09-24 17:05:44,283 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 18:34:36,091 - root - INFO - 测试用例：添加课程
2020-09-24 18:34:43,185 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 18:34:43,324 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 18:34:44,377 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 18:36:24,353 - root - INFO - 测试用例：添加课程
2020-09-24 18:36:29,407 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 18:36:29,543 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 18:36:30,698 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 18:39:13,144 - root - INFO - 测试用例：添加课程
2020-09-24 18:39:20,067 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 18:39:20,181 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 18:39:21,578 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 18:41:27,650 - root - INFO - 测试用例：添加课程
2020-09-24 18:41:38,286 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 18:41:38,441 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 18:41:39,620 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 18:42:07,801 - root - INFO - 测试用例：添加课程
2020-09-24 18:42:13,109 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 18:42:13,243 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 18:42:14,264 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
